2019/06/25 15:02:47 [WinError 10054] 远程主机强迫关闭了一个现有的连接。
2019/06/25 15:02:54 发送消息:{'sub': 'market.btcusdt.kline.1min', 'id': 'BTC'}
2019/06/25 15:02:55 收到订阅状态消息：{'id': 'BTC', 'status': 'ok', 'subbed': 'market.btcusdt.kline.1min', 'ts': 1561446175191}
2019/06/25 15:03:16 ts:1561446196592 id:1561446180 amount:8.69083270918825 open:11336.01 close:11346.52 low:11336.0 high:11346.53 count:113 vol:98548.29117610553
2019/06/25 15:03:17 ts:1561446197002 id:1561446180 amount:8.690920841859649 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:114 vol:98549.29117610553
2019/06/25 15:03:17 ts:1561446197444 id:1561446180 amount:8.928020841859649 open:11336.01 close:11345.01 low:11336.0 high:11346.53 count:118 vol:101239.21274110553
2019/06/25 15:03:17 ts:1561446197700 id:1561446180 amount:8.928108974531046 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:119 vol:101240.21274110553
2019/06/25 15:03:17 ts:1561446197793 id:1561446180 amount:8.928197107202445 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:120 vol:101241.21274110553
2019/06/25 15:03:18 ts:1561446198402 id:1561446180 amount:9.787153371099865 open:11336.01 close:11346.53 low:11336.0 high:11346.53 count:121 vol:110987.38575810553
2019/06/25 15:03:18 ts:1561446198402 id:1561446180 amount:9.853153371099864 open:11336.01 close:11345.02 low:11336.0 high:11346.53 count:123 vol:111736.15707810553
2019/06/25 15:03:18 ts:1561446198403 id:1561446180 amount:9.864611132053351 open:11336.01 close:11348.67 low:11336.0 high:11348.67 count:126 vol:111866.18707810553
2019/06/25 15:03:18 ts:1561446198428 id:1561446180 amount:9.864699248105717 open:11336.01 close:11348.67 low:11336.0 high:11348.67 count:127 vol:111867.18707810553
2019/06/25 15:03:18 ts:1561446198604 id:1561446180 amount:9.874799248105717 open:11336.01 close:11348.67 low:11336.0 high:11348.67 count:128 vol:111981.80864510553
2019/06/25 15:03:19 ts:1561446199045 id:1561446180 amount:9.874887364158083 open:11336.01 close:11348.67 low:11336.0 high:11348.67 count:129 vol:111982.80864510553
2019/06/25 15:03:19 ts:1561446199343 id:1561446180 amount:9.874975480210448 open:11336.01 close:11348.67 low:11336.0 high:11348.67 count:130 vol:111983.80864510553
2019/06/25 15:03:19 ts:1561446199411 id:1561446180 amount:9.875475480210449 open:11336.01 close:11346.54 low:11336.0 high:11348.67 count:131 vol:111989.48191510553
2019/06/25 15:03:19 ts:1561446199471 id:1561446180 amount:9.909999248105716 open:11336.01 close:11348.67 low:11336.0 high:11348.67 count:133 vol:112381.28071210552
2019/06/25 15:03:19 收到ping消息: {'ping': 1561446199536}
2019/06/25 15:03:19 发送消息:{'pong': 1561446199536}
2019/06/25 15:03:19 ts:1561446199560 id:1561446180 amount:9.951099248105717 open:11336.01 close:11346.54 low:11336.0 high:11348.67 count:139 vol:112847.62350610553
2019/06/25 15:03:19 ts:1561446199755 id:1561446180 amount:9.95118735484174 open:11336.01 close:11349.87 low:11336.0 high:11349.87 count:140 vol:112848.62350610553
2019/06/25 15:03:20 ts:1561446200400 id:1561446180 amount:9.951275461577765 open:11336.01 close:11349.87 low:11336.0 high:11349.87 count:141 vol:112849.62350610553
2019/06/25 15:03:20 ts:1561446200400 id:1561446180 amount:9.966661665638757 open:11336.01 close:11350.0 low:11336.0 high:11350.0 count:143 vol:113024.25690610553
2019/06/25 15:03:20 ts:1561446200431 id:1561446180 amount:9.967161665638757 open:11336.01 close:11346.55 low:11336.0 high:11350.0 count:144 vol:113029.93018110553
2019/06/25 15:03:20 ts:1561446200466 id:1561446180 amount:9.967249771443255 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:145 vol:113030.93018110553
2019/06/25 15:03:21 ts:1561446200965 id:1561446180 amount:10.010549771443255 open:11336.01 close:11346.55 low:11336.0 high:11350.0 count:148 vol:113522.23579610552
2019/06/25 15:03:21 ts:1561446201483 id:1561446180 amount:10.010637877247754 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:149 vol:113523.23579610552
2019/06/25 15:03:21 ts:1561446201484 id:1561446180 amount:10.083837877247754 open:11336.01 close:11346.88 low:11336.0 high:11350.0 count:156 vol:114353.99063886765
2019/06/25 15:03:21 ts:1561446201524 id:1561446180 amount:10.281092502798414 open:11336.01 close:11350.0 low:11336.0 high:11350.0 count:158 vol:116592.83063886764
2019/06/25 15:03:21 ts:1561446201525 id:1561446180 amount:10.281180608602913 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:159 vol:116593.83063886764
2019/06/25 15:03:21 ts:1561446201599 id:1561446180 amount:10.281380608602912 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:160 vol:116596.10063686765
2019/06/25 15:03:21 ts:1561446201629 id:1561446180 amount:10.282280608602914 open:11336.01 close:11346.89 low:11336.0 high:11350.0 count:161 vol:116606.31283786765
2019/06/25 15:03:21 ts:1561446201828 id:1561446180 amount:10.282368714407411 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:162 vol:116607.31283786765
2019/06/25 15:03:22 ts:1561446201900 id:1561446180 amount:10.287480608602912 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:163 vol:116665.33278586765
2019/06/25 15:03:22 ts:1561446202421 id:1561446180 amount:10.324180608602912 open:11336.01 close:11350.0 low:11336.0 high:11350.0 count:164 vol:117081.87778586765
2019/06/25 15:03:22 ts:1561446202466 id:1561446180 amount:10.327880608602912 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:165 vol:117123.87274886764
2019/06/25 15:03:22 ts:1561446202476 id:1561446180 amount:10.327968714407412 open:11336.01 close:11349.99 low:11336.0 high:11350.0 count:166 vol:117124.87274886764
